estacion,tendencia_m_año,r2,p_valor,n_mediciones,nivel_medio,rango_m,año_inicio,año_fin,x,y,masa_agua
Piezòmetre - 11 Gironella-1,0.058448808044083304,0.31119954060761895,2.747364608261834e-60,722.0,441.1521191135734,3.0399999999999636,2009.0,2024.0,407431.31,4654152.83,N/D - Subterrània
Piezòmetre - 11 Sallent-1,-0.10578662882217016,0.5767875741151971,1.7126959831366836e-143,759.0,241.11452042160738,2.969999999999999,2009.0,2024.0,409279.0,4626275.0,Detrítics terciaris del Llobregat mig
Piezòmetre - 11 Sant Vicenç De Castellet-1,0.00039804395923006744,9.5150680695276e-05,0.7930262203599525,726.0,155.00248760330578,1.5900000000000034,2009.0,2024.0,405268.67,4612939.76,Detrítics terciaris del Llobregat mig
Piezòmetre - 12 Bigues I Riells-1 (Font Del Tord),-0.0612681360863215,0.2017303231661851,3.619550068767138e-38,743.0,227.83793674293406,10.11099999999999,2009.0,2024.0,436011.1,4613775.7,Prelitoral del Vallès
Piezòmetre - 12 Bigues I Riells-2 (Can Camps),-0.09855636184128805,0.051923191748829235,6.034100156806784e-10,721.0,231.43039112343968,26.208,2009.0,2024.0,433321.82,4615594.39,Prelitoral del Vallès
Piezòmetre - 12 Bigues I Riells-3 (Can Regasol),0.09755338833986144,0.033993842575170206,3.685469478377587e-07,750.0,374.64809333333335,44.389999999999986,2009.0,2024.0,431962.52,4611882.78,Prelitoral del Vallès
Piezòmetre - 12 Castellar Del Vallès-1,-0.4050187580966009,0.14555951293095207,1.1282748650653142e-26,729.0,289.2834183813443,23.025000000000034,2009.0,2024.0,422874.82,4608172.06,Prelitoral del Vallès
Piezòmetre - 12 Matadepera-1,0.4191279267335763,0.08200508901765852,3.603484729620722e-15,726.0,418.2782190082644,21.0,2009.0,2024.0,418527.78,4606327.48,Prelitoral del Vallès
Piezòmetre - 13 Sant Sadurní D'Osormort-1,-0.017855966410398067,0.09814848919493173,5.364500020292562e-18,726.0,518.7445179063361,2.490000000000009,2009.0,2024.0,448497.53,4638957.66,Montseny-Guilleries
Piezòmetre - 14 Campllong-1,-0.0073460803363211615,0.014019409438407241,0.0924723807806347,203.0,89.3928078817734,4.510000000000005,2007.0,2024.0,484938.0,4638441.0,Plioquaternari de l'Onyar
Piezòmetre - 14 Piezòmetre Cassà-1,-0.15733608416616182,0.0006357912139948359,0.9047694295071992,25.0,97.67119999999998,16.549999999999997,2022.0,2024.0,487204.88,4634769.57,Plioquaternari de l'Onyar
Piezòmetre - 14 Piezòmetre Riudellots-1,-0.7755496714256755,0.965414851205588,7.961088157465175e-17,23.0,89.50304347826086,1.5700000000000074,2022.0,2024.0,483603.95,4638495.92,Plioquaternari de l'Onyar
Piezòmetre - 14 Piezòmetre Vilobí-1,-1.6509700505103402,0.17485964804715196,0.0420052918917016,24.0,104.75250000000001,8.879999999999995,2022.0,2024.0,479082.17,4637355.33,Plioquaternari de l'Onyar
Piezòmetre - 14-Girona 2,-0.053571084490055404,0.4964811185898187,2.851181306052624e-11,67.0,67.52985074626865,0.6300000000000097,2018.0,2024.0,484672.0,4647532.0,Plioquaternari de l'Onyar
Piezòmetre - 14-Girona 3,-0.029450403554934498,0.150035982062257,0.0015662962974672223,64.0,67.3984375,0.7099999999999937,2018.0,2024.0,484672.0,4647532.5,Plioquaternari de l'Onyar
Piezòmetre - 15 Piezòmetre Calonge-1 (Superficial),-0.14207944256186195,0.24660522242328956,0.009864311735235621,26.0,1.1042307692307693,0.86,2022.0,2024.0,508567.73,4633150.73,Al·luvials de la Baixa Costa Brava
Piezòmetre - 15 Piezòmetre Calonge-2 (Profund),0.1873446869404463,0.38183799387044715,0.0007685160930938392,26.0,0.5634615384615385,0.6799999999999999,2022.0,2024.0,508565.93,4633150.15,Al·luvials de la Baixa Costa Brava
Piezòmetre - 25 Piezòmetre Valls-1,0.3078156132414067,0.008599453520528535,0.645481221331129,27.0,224.5185185185185,12.139999999999986,2022.0,2024.0,354536.3,4573411.8,Alt Camp
Piezòmetre - 26 Piezòmetre Cambrils-1,-0.027243150102767868,0.004510143012429987,0.7497589811257153,25.0,4.726400000000001,0.8600000000000003,2022.0,2024.0,336226.3,4548190.1,Baix Camp
Piezòmetre - 27 Piezometre Rocafort Queralt-1,-0.13760149562956284,0.2297179054576006,0.013233054506239489,26.0,520.9346153846154,0.75,2022.0,2024.0,356420.9,4592743.2,Prades - Alt Francolí
Piezòmetre - 27 Piezòmetre Montblanc-1 (Poble),-16.64285168767421,0.8307995845735431,9.66135273517265e-11,26.0,334.69769230769236,37.94999999999999,2022.0,2024.0,345731.5,4581580.1,Prades - Alt Francolí
Piezòmetre - 27 Piezòmetre Montblanc-2 (Muntanya),-10.068374090190094,0.893839246112994,1.0896120932636895e-12,25.0,362.36280000000005,19.060000000000002,2022.0,2024.0,345265.0,4580399.4,Prades - Alt Francolí
